Sample ID,NPOC (mg/l),TNb (mg/l)
HAW-B-1,301.519,17.715
HAW-B-10,364.203,18.725
HAW-B-2,315.953,20.82233333
HAW-B-3,497.348,25.77266667
HAW-B-4,819.345,54.47866667
HAW-B-5,666.559,73.89266667
HAW-B-6,592.687,38.65533333
HAW-B-7,481.141,45.24266667
HAW-B-8,315.7546667,16.86833333
HAW-B-9,555.524,27.77466667
HAW-H-1,257.186,12.83
HAW-H-10,859.323,40.069
HAW-H-2,338.5546667,10.01533333
HAW-H-3,619.5816667,17.60366667
HAW-H-4,594.7196667,20.47533333
HAW-H-5,632.6553333,27.60666667
HAW-H-6,380.3343333,14.698
HAW-H-7,765.9096667,27.99166667
HAW-H-8,1012.715,29.711
HAW-H-9,846.0816667,27.23466667
WDY-B-1,202.262,12.77566667
WDY-B-10,239.4656667,17.98
WDY-B-2,256.9756667,11.08033333
WDY-B-3,202.954,15.75466667
WDY-B-4,296.214,19.26733333
WDY-B-5,347.2513333,16.488
WDY-B-6,228.604,20.00633333
WDY-B-7,279.5653333,14.715
WDY-B-8,220.8673333,15.51866667
WDY-B-9,372.0956667,20.231
WDY-H-1,165.43,9.476
WDY-H-10,90.48766667,9.296666667
WDY-H-2,137.8816667,4.532
WDY-H-3,125.3873333,5.067666667
WDY-H-4,127.7286667,11.072
WDY-H-5,234.1356667,11.635
WDY-H-6,114.7626667,7.176
WDY-H-7,962.8563333,35.93166667
WDY-H-8,495.174,22.08966667
WDY-H-9,255.8033333,16.34266667
WHI-B-1,390.9366667,27.121
WHI-B-10,355.1153333,20.095
WHI-B-2,306.321,16.42166667
WHI-B-3,422.5143333,22.355
WHI-B-4,319.5526667,14.67166667
WHI-B-5,471.3676667,21.72533333
WHI-B-6,357.7173333,28.48766667
WHI-B-7,502.934,34.70766667
WHI-B-8,316.1513333,20.64566667
WHI-B-9,329.2703333,21.85566667
WHI-H-1,417.1293333,11.485
WHI-H-10,323.0686667,12.324
WHI-H-2,412.9786667,14.46433333
WHI-H-3,735.635,13.69
WHI-H-4,323.3056667,8.289333333
WHI-H-5,463.8246667,10.04433333
WHI-H-6,439.914,11.46466667
WHI-H-7,377.5096667,13.97833333
WHI-H-8,312.76,9.268666667
WHI-H-9,457.929,10.19966667
